date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:39:26	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2012%20Apr%202025%2023:39:25%20GMT	https://shaftcoin/robots.txt		(from )
01:39:26	47365/47365	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Mar%202025%2014:02:40%20GMT	https://shaftcoin/	/home/hamid/shaftcoin/shaftcoin/index.html	(from )
01:39:26	7113/7113	---M--	200	added ('OK')	image/jpeg	date:Sun,%2002%20Feb%202025%2009:19:52%20GMT	https://pbs.twimg.com/profile_images/1885981955658801152/OKOJGZMN_400x400.jpg	/home/hamid/shaftcoin/pbs.twimg.com/profile_images/1885981955658801152/OKOJGZMN_400x400.jpg	(from https://shaftcoin/)
01:39:27	400/400	---MC-	200	added ('OK')	text/css	date:Sat,%2012%20Apr%202025%2023:39:27%20GMT	https://fonts.googleapis.com/css2?family=Ubuntu:wght@400;700&display=swap	/home/hamid/shaftcoin/fonts.googleapis.com/css21189.css	(from https://shaftcoin/)
01:39:28	2944/2944	---M--	200	added ('OK')	image/webp	etag:W/%22b80-e58d1MZo91Eno8N8UsIqA8NKOuw%22	https://i.ibb.co/1YfRWyy8/shaftcoinlogo.gif	/home/hamid/shaftcoin/dd.dexscreener.com/ds-data/tokens/solana/shaftCAa506.png	(from https://shaftcoin/)
01:39:29	25068/25068	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Mar%202025%2014:02:34%20GMT	https://shaftcoin/dominance.html	/home/hamid/shaftcoin/shaftcoin/dominance.html	(from https://shaftcoin/)
01:39:30	49308/49308	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Mar%202025%2014:02:45%20GMT	https://shaftcoin/memes.html	/home/hamid/shaftcoin/shaftcoin/memes.html	(from https://shaftcoin/)
01:39:31	29923/29923	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Mar%202025%2014:02:45%20GMT	https://shaftcoin/laser.html	/home/hamid/shaftcoin/shaftcoin/laser.html	(from https://shaftcoin/)
01:39:32	45042/45042	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Mar%202025%2014:05:16%20GMT	https://shaftcoin/calculator.html	/home/hamid/shaftcoin/shaftcoin/calculator.html	(from https://shaftcoin/)
01:39:34	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2012%20Apr%202025%2023:39:33%20GMT	https://web.archive.org/web/20131208233919im_/http://bitcoin.org/img/but_bitcoin.svg	/home/hamid/shaftcoin/web.archive.org/web/20131208233919im_/http_/bitcoin.org/img/but_bitcoin.7.delayed	(from https://shaftcoin/)
